DT_REFER;DENOM_CIA;ESCALA_MOEDA;ORDEM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2;Passivo Total;1693794003.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2;Passivo Total;1899340511.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.01;Passivos Financeiros Avaliados ao Valor Justo atravàdo Resultado;3098315.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.01;Passivos Financeiros Avaliados ao Valor Justo atravàdo Resultado;2053161.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.02;Passivos Financeiros ao Custo Amortizado;1500172488.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.02;Passivos Financeiros ao Custo Amortizado;1679166834.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.02.01;DepŽtos;601984265.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.02.01;DepŽtos;671269541.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.02.02;Captaes no Mercado Aberto;503722822.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.02.02;Captaes no Mercado Aberto;621836755.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.02.03;Recursos Mercado Interfinanceiro;25945382.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.02.03;Recursos Mercado Interfinanceiro;26167697.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.02.04;Outras Captaes;368520019.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.02.04;Outras Captaes;359892841.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.02.04.01;Obrigaes por emissàde t5los e valores mobili©os e outras obrigaes;298176293.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.02.04.01;Obrigaes por emissàde t5los e valores mobili©os e outras obrigaes;292677975.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.02.04.02;Outros passivos financeiros;70343726.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.02.04.02;Outros passivos financeiros;67214866.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.03;ProvisWû16894620.0000000000;S
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.03;ProvisWû19488820.0000000000;S
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.03.01;ProvisWàtrabalhistas, fiscais e c¥is;14519222.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.03.01;ProvisWàtrabalhistas, fiscais e c¥is;16726539.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.03.02;ProvisWàpara perdas esperadas com garantias prestadas e compromissos de emprôimos;2375398.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.03.02;ProvisWàpara perdas esperadas com garantias prestadas e compromissos de emprôimos;2762281.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.04;Passivos Fiscais;6417506.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.04;Passivos Fiscais;12197350.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.05;Outros Passivos;39349790.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.05;Outros Passivos;40324113.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.06;Passivos sobre Ativos NàCorrentes a Venda e Descontinuados;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.06;Passivos sobre Ativos NàCorrentes a Venda e Descontinuados;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.06.01;Passivos sobre Ativos NàCorrentes a Venda;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.06.01;Passivos sobre Ativos NàCorrentes a Venda;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.06.02;Passivos sobre Ativos de Operaes Descontinuadas;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.06.02;Passivos sobre Ativos de Operaes Descontinuadas;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07;Patrimzo Luido Consolidado;127861284.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07;Patrimzo Luido Consolidado;146110233.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01;Patrimzo Luido Atribu/ ao Controlador;125099772.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01;Patrimzo Luido Atribu/ ao Controlador;142751482.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.01;Capital Social Realizado;98100023.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.01;Capital Social Realizado;98100023.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02;Reservas de Capital;6344966.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02;Reservas de Capital;6350720.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.01;gio na Emissàde Aes;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.01;gio na Emissàde Aes;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.02;Reserva Especial de gio na Incorporaï;6625608.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.02;Reserva Especial de gio na Incorporaï;6627633.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.03;Alienaï de B{s de Subscriï;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.03;Alienaï de B{s de Subscriï;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.04;Opes Outorgadas;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.04;Opes Outorgadas;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.05;Aes em Tesouraria;-280642.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.05;Aes em Tesouraria;-276913.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.03;Reservas de Reavaliaï;0.0000000000
